,0,1
0,donald trump,1124
1,joe biden,610
2,barack obama,524
3,coronavirus,316
4,covid19,264
5,hillary clinton,150
6,hiliary clinton,141
7,work from home,138
8,democratic party,106
9,republican party,89
10,bernie sanders,83
11,mask,57
12,corona beer,56
13,mike pence,56
14,michelle obama,55
15,libertarian party,55
16,wuhan coronavirus,53
17,toilet paper,48
18,green party,40
19,vladimir putin,36
20,people,35
21,covid19 vaccine,34
22,kamala harris,28
23,presidential debate,28
24,?,28
25,bill clinton,27
26,cnn,27
27,coronavirus memes,27
28,china,26
29,democrats,26
30,george bush,26
31,americans,25
32,usa,24
33,centre of disease control (cdc),24
34,jill stein,22
35,nancy pelosi,21
36,mitch mcconnell,21
37,dr. anthony fauci,20
38,grand old party (gop),20
39,ted cruz,20
40,abraham lincoln,19
41,centre for disease control (cdc),19
42,dog,18
43,republicans,18
44,gary johnson,18
45,coronavirus vaccine,17
46,china virus,17
47,hunter biden,16
48,make america great again (maga),16
49,xi jinping,15
50,adolf hitler,15
51,libertarians,15
52,george walker bush,15
53,melania trump,14
54,quarantine,14
55,social distancing,14
56,memes,14
57,narendra modi,13
58,covid infected people,13
59,kim jong-un,12
60,kim jong un,12
61,america,12
62,covid19 memes,12
63,mitt romney,12
64,vice presidential debate,12
65,elizabeth warren,11
66,dogs,11
67,stay at home,11
68,sanitizer,10
69,mit romney,10
70,democratic national committee (dnc),10
71,democratic national convention (dnc),10
72,ku klux klan (kkk),10
73,face mask,9
74,wuhan virus,9
75,lockdown,9
76,john f. kennedy,9
77,barack obama memes,9
78,garry johnson,9
79,fox news,9
80,ronald regan,9
81,mainstream media,8
82,russian vaccine,8
83,government,8
84,norton antivirus,8
85,the world,8
86,kids,8
87,great old party (gop),8
88,working from home,8
89,libertarian party national convention,8
90,chris wallace,8
91,george w. bush,8
92,h1n1,7
93,valdimir putin,7
94,covid 19,7
95,world health organization (who),7
96,hand wash,7
97,justin trudeau,7
98,leonardo dicaprio,7
99,cat,7
100,women,7
101,trump supporters,7
102,work from home (wfh),7
103,abc news,7
104,black people,7
105,chinese student,6
106,politicians,6
107,covid vaccine,6
